Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied
CHL,Chile,2024,1,0.0,0.0,0.0,0.0,0
CHN,China,2024,0,0.9,0.8868963689827373,-0.013103631017262751,-1.4559590017563102,1
CIV,Côte d'Ivoire,2024,0,207.58,206.1414971802208,-1.4385028197792167,-0.6929871951915039,1
CMR,Cameroon,2024,0,29.84,29.62730737864611,-0.21269262135389155,-0.7127768812103847,1
COD,Democratic Republic of the Congo,2024,0,46.54,46.21213335865227,-0.32786664134773247,-0.7044835439343102,1
COG,Congo,2024,0,28.74,28.534893691340315,-0.20510630865968338,-0.7136614775886212,1
COK,Cook Islands,2024,0,0.0,0.0,0.0,0.0,1
COL,Colombia,2024,0,0.0,0.0,0.0,0.0,1
COM,Comoros,2024,0,18.46,18.325791231791612,-0.13420876820838856,-0.7270247465203767,1
CRI,Costa Rica,2024,1,0.0,0.0,0.0,0.0,0
CUB,Cuba,2024,0,0.0,0.0,0.0,0.0,1
CYP,Cyprus,2024,1,19.88,19.735997991768187,-0.14400200823181208,-0.7243561782247875,0
CZE,Czechia,2024,1,3.45,3.4193099168279892,-0.03069008317201094,-0.8895676281484455,0
DEU,Germany,2024,1,7.72,7.659861230278667,-0.06013876972133314,-0.7789996077791987,0
DJI,Djibouti,2024,0,51.34,50.97902944871392,-0.3609705512860799,-0.7030980741826584,1
DMA,Dominica,2024,0,0.0,0.0,0.0,0.0,1
DNK,Denmark,2024,1,4.18,4.144275363858198,-0.03572463614180155,-0.8546563670082988,0
DOM,Dominican Republic,2024,0,0.0,0.0,0.0,0.0,1
DZA,Algeria,2024,0,1.62,1.601930782491985,-0.018069217508015045,-1.1153837967222013,1
ECU,Ecuador,2024,0,0.0,0.0,0.0,0.0,1
EGY,Egypt,2024,0,0.78,0.7677239667311959,-0.01227603326880411,-1.5738504188756741,1
ERI,Eritrea,2024,0,2.83,2.8035858385283596,-0.02641416147164044,-0.9333625961380593,1
ESP,Spain,2024,1,5.03,4.98841321313995,-0.04158678686005057,-0.826775086664489,0
EST,Estonia,2024,1,2.94,2.912827207258939,-0.02717279274106099,-0.9242446510250595,0
ETH,Ethiopia,2024,0,228.69,227.105908942971,-1.584091057028985,-0.6926805094356082,1
FIN,Finland,2024,1,0.36,0.35062055885080123,-0.009379441149198753,-2.6054003184981536,0
FJI,Fiji,2024,0,0.0,0.0,0.0,0.0,1
FRA,France,2024,1,7.27,7.212964721835386,-0.057035278164613956,-0.784529273230116,0
FSM,Micronesia (Federated States of),2024,0,0.0,0.0,0.0,0.0,1
GAB,Gabon,2024,0,11.82,11.731584973872993,-0.08841502612700758,-0.7480120653659862,1
GBR,United Kingdom of Great Britain and Northern Ireland,2024,1,42.29,41.99144411224352,-0.29855588775647846,-0.7059727778571115,0
GEO,Georgia,2024,0,91.92,91.27916347677684,-0.6408365232231574,-0.6971676710427113,1
GHA,Ghana,2024,0,121.68,120.83391923515913,-0.8460807648408775,-0.6953326469758235,1
GIN,Guinea,2024,0,43.04,42.73627162631565,-0.30372837368435057,-0.7056886005660894,1
GMB,Gambia,2024,0,6.88,6.825654414517879,-0.054345585482121095,-0.7899067657170231,1
