Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied
DMA,Dominica,2024,0,0.0,0.2012580588217897,0.2012580588217897,201258058821.7897,1
DNK,Denmark,2024,1,4.18,4.275861561760393,0.09586156176039307,2.2933387980406637,0
DOM,Dominican Republic,2024,0,0.0,0.16866723189133684,0.16866723189133684,168667231891.33682,1
DZA,Algeria,2024,0,1.62,1.7429024971668305,0.12290249716683044,7.586573898718756,1
ECU,Ecuador,2024,0,0.0,0.3783628198530524,0.3783628198530524,378362819853.0524,1
EGY,Egypt,2024,0,0.78,0.7637547103128156,-0.016245289687184417,-2.0827294468079085,1
ERI,Eritrea,2024,0,2.83,3.1977534871703646,0.3677534871703645,12.994822867751578,1
ESP,Spain,2024,1,5.03,5.198159661730727,0.16815966173072638,3.3431344279797863,0
EST,Estonia,2024,1,2.94,3.7765502588706323,0.8365502588706324,28.454090436808784,0
ETH,Ethiopia,2024,0,228.69,318.51220572156313,89.82220572156314,39.27684014234285,1
FIN,Finland,2024,1,0.36,0.3979265572062664,0.03792655720626642,10.535154776592018,0
FJI,Fiji,2024,0,0.0,0.2012580588217897,0.2012580588217897,201258058821.7897,1
FRA,France,2024,1,7.27,7.423045389142556,0.15304538914255605,2.1051635370075776,0
FSM,Micronesia (Federated States of),2024,0,0.0,0.3783628198530524,0.3783628198530524,378362819853.0524,1
GAB,Gabon,2024,0,11.82,13.376750026217007,1.5567500262170064,13.170473994956309,1
GBR,United Kingdom of Great Britain and Northern Ireland,2024,1,42.29,46.446670616084866,4.156670616084867,9.828968115571147,0
GEO,Georgia,2024,0,91.92,104.64638015743421,12.726380157434207,13.84506109379935,1
GHA,Ghana,2024,0,121.68,141.06360093386982,19.383600933869815,15.929981043601154,1
GIN,Guinea,2024,0,43.04,68.65272243279269,25.612722432792687,59.509113458952555,1
GMB,Gambia,2024,0,6.88,7.796461495681185,0.916461495681185,13.320661274242212,1
GNB,Guinea-Bissau,2024,0,25.44,40.81693871759854,15.376938717598538,60.44394149975666,1
GNQ,Equatorial Guinea,2024,0,272.65,491.0754042966385,218.42540429663853,80.11201331250997,1
GRC,Greece,2024,1,3.78,4.956504492500253,1.176504492500253,31.12445747272827,0
GRD,Grenada,2024,0,0.0,0.2926794354515264,0.2926794354515264,292679435451.52637,1
GTM,Guatemala,2024,0,0.0,0.16866723189133684,0.16866723189133684,168667231891.33682,1
GUY,Guyana,2024,1,0.0,0.0,0.0,0.0,0
HND,Honduras,2024,0,0.0,0.17943139179349657,0.17943139179349657,179431391793.49655,1
HRV,Croatia,2024,1,8.52,9.058375452498499,0.5383754524984994,6.318960710002118,0
HTI,Haiti,2024,0,0.0,0.45631205376539397,0.45631205376539397,456312053765.394,1
HUN,Hungary,2024,1,1.86,1.7570127230186463,-0.10298727698135379,-5.536950375043916,0
IDN,Indonesia,2024,0,25.37,28.708021806952843,3.338021806952842,13.157358324555318,1
IND,India,2024,0,14.31,14.73695264031466,0.42695264031465996,2.98359636835553,1
IRL,Ireland,2024,1,40.34,42.27923253163235,1.9392325316323493,4.807219959413837,0
IRN,Iran (Islamic Republic of),2024,0,4.77,4.56222496916699,-0.20777503083300974,-4.355870667267377,1
IRQ,Iraq,2024,0,703.71,792.9150567909646,89.20505679096459,12.676394649919981,1
ISL,Iceland,2024,1,5.08,4.915046078332657,-0.16495392166734302,-3.247124442206612,0
ISR,Israel,2024,1,3.3,3.4199148499904015,0.1199148499904017,3.633783332932361,0
ITA,Italy,2024,1,17.78,19.77282491996568,1.9928249199656776,11.208239144850785,0
JAM,Jamaica,2024,0,0.0,0.018506093003936835,0.018506093003936835,18506093003.936832,1
JOR,Jordan,2024,0,1.38,1.3582787699688208,-0.021721230031179095,-1.5740021760583403,1
JPN,Japan,2024,1,0.34,0.32777039989841183,-0.01222960010158819,-3.596941205291543,0
KAZ,Kazakhstan,2024,0,1366.85,1404.9954715254355,38.145471525435596,2.790757692902133,1
KEN,Kenya,2024,0,24.47,29.3168059166807,4.846805916680701,19.807134927098055,1
KGZ,Kyrgyzstan,2024,0,2005.01,2042.1334076268272,37.1234076268272,1.8515322929474343,1
KHM,Cambodia,2024,0,37.76,50.50152101400464,12.74152101400464,33.74343488869411,1
KIR,Kiribati,2024,0,0.0,0.5528415893093476,0.5528415893093476,552841589309.3475,1
