Code,Country,Year,HIC,BaselineIncidence,InterventionIncidence,Change,PercentChange,InterventionApplied
BTN,Bhutan,2024,0,0.0,0.0,0.0,0.0,1
BWA,Botswana,2024,0,1.19,0.6598685449045182,-0.5301314550954818,-44.54886176898596,1
CAF,Central African Republic,2024,0,22.14,16.538519693648652,-5.601480306351348,-25.300272386296513,1
CAN,Canada,2024,1,3.7,2.5622749593841263,-1.1377250406158739,-30.74932542121958,0
CHE,Switzerland,2024,1,11.21,8.254335585974506,-2.9556644140254953,-26.366319482597042,0
CHL,Chile,2024,1,0.0,0.0,0.0,0.0,0
CHN,China,2024,0,0.9,0.4400686006020935,-0.4599313993979065,-51.10348881631145,1
CIV,Côte d'Ivoire,2024,0,207.58,157.08921511241294,-50.49078488758707,-24.323530632798317,1
CMR,Cameroon,2024,0,29.84,22.37458718029924,-7.465412819700759,-25.01813947612514,1
COD,Democratic Republic of the Congo,2024,0,46.54,35.032032248749225,-11.507967751250774,-24.727047166364517,1
COG,Congo,2024,0,28.74,21.540863253634875,-7.199136746365124,-25.049188400626566,1
COK,Cook Islands,2024,0,0.0,0.0,0.0,0.0,1
COL,Colombia,2024,0,0.0,0.0,0.0,0.0,1
COM,Comoros,2024,0,18.46,13.749334193535127,-4.710665806464874,-25.51823297096076,1
CRI,Costa Rica,2024,1,0.0,0.0,0.0,0.0,0
CUB,Cuba,2024,0,0.0,0.0,0.0,0.0,1
CYP,Cyprus,2024,1,19.88,14.825595989774587,-5.0544040102254115,-25.424567455734344,0
CZE,Czechia,2024,1,3.45,2.3727922487785875,-1.0772077512214127,-31.223413077976495,0
DEU,Germany,2024,1,7.72,5.609156945921187,-2.1108430540788126,-27.342526606884327,0
DJI,Djibouti,2024,0,51.34,38.670100292375565,-12.669899707624438,-24.678417817685546,1
DMA,Dominica,2024,0,0.0,0.0,0.0,0.0,1
DNK,Denmark,2024,1,4.18,2.92608176374676,-1.2539182362532397,-29.99804392878569,0
DOM,Dominican Republic,2024,0,0.0,0.0,0.0,0.0,1
DZA,Algeria,2024,0,1.62,0.9857788071460447,-0.6342211928539554,-39.149456346592956,1
ECU,Ecuador,2024,0,0.0,0.0,0.0,0.0,1
EGY,Egypt,2024,0,0.78,0.34911689951143493,-0.4308831004885651,-55.24142313247739,1
ERI,Eritrea,2024,0,2.83,1.902875126476852,-0.9271248735231481,-32.76059623640945,1
ESP,Spain,2024,1,5.03,3.5703229798055918,-1.4596770201944085,-29.019423860146897,0
EST,Estonia,2024,1,2.94,1.986247519143289,-0.953752480856711,-32.4405605722541,0
ETH,Ethiopia,2024,0,228.69,173.08913519594455,-55.60086480405545,-24.31276610434699,1
FIN,Finland,2024,1,0.36,0.030785945694130023,-0.32921405430587,-91.4483483928949,0
FJI,Fiji,2024,0,0.0,0.0,0.0,0.0,1
FRA,France,2024,1,7.27,5.268088066831217,-2.001911933168783,-27.536615311433927,0
FSM,Micronesia (Federated States of),2024,0,0.0,0.0,0.0,0.0,1
GAB,Gabon,2024,0,11.82,8.71667339985202,-3.1033266001479802,-26.254878173618657,1
GBR,United Kingdom of Great Britain and Northern Ireland,2024,1,42.29,31.810826168455073,-10.479173831544927,-24.779318589548705,0
GEO,Georgia,2024,0,91.92,69.42693387786656,-22.493066122133442,-24.470263405253448,1
GHA,Ghana,2024,0,121.68,91.9829557483499,-29.697044251650112,-24.405854907647687,1
